X [ m ], Y [ m ], Z [ m ], Area [ m^2 ], Gas.Volume Fraction.Trnavg, kla [ s^-1 ], Liquid.Velocity.Trnavg Axial [ m s^-1 ], Liquid.Velocity.Trnavg Radial [ m s^-1 ], Ostar [ kg m^-3 ], Radius [ m ]
-0.592438459,0.206399456,0.592438459,0.00696950499,0.111832581,0.0717432126,-0.149028823,-0.175929472,0.0215493143,0.838323295
-0.848623335,0.213707507,0.848623335,0.00353181758,0.0396380126,0.0222372245,0.160213396,0.348314136,0.0218671598,1.20014274
-0.849031687,0.213907674,0.849031627,4.03052327e-05,0.0396429971,0.0222380664,0.160659313,0.349435329,0.0218673088,1.20073009
-0.84929651,0.21404779,0.84929651,0.00363837765,0.0396415964,0.0222372711,0.161027893,0.350022614,0.0218673497,1.20109642
0.0081798546,0.220238253,-0.00817986019,0.00343229435,0.193160087,0.106469609,0.0198994428,0.00259316387,0.0199225675,0.0148413572
0.0034050066,0.220358461,-0.00340500614,0.00449210452,0.192992359,0.106451198,0.0205233451,0.00225280854,0.0199231468,0.0167220272
-0.639976025,0.225405633,0.639976025,0.00607210258,0.122467101,0.0777314082,-0.192690477,-0.118600368,0.021620987,0.907234013
0.0108232917,0.226326808,-0.0108232908,0.00564741949,0.198893502,0.110413477,0.0224943459,0.00343567482,0.0199191161,0.0171371773
0.651188016,0.230633184,-0.651188016,0.00751548912,0.119250432,0.0744297057,-0.198645532,-0.0665187761,0.0217247624,0.922059834
-0.275341064,0.23304227,0.275341034,2.54373044e-05,0.107506439,0.0778357461,0.232742846,-0.030278476,0.020423945,0.38939932
-0.275292158,0.233046174,0.275292158,2.89461277e-05,0.1075105,0.0778372064,0.232772514,-0.0301828105,0.0204237252,0.38933599
-0.274912685,0.233058244,0.274912685,0.00536351232,0.107622549,0.077892825,0.232623354,-0.0296049211,0.0204222836,0.388788134
-0.275315851,0.233075723,0.275315851,2.74648393e-08,0.107520975,0.0778478384,0.232794583,-0.0302601997,0.0204237904,0.38936764
-0.275645941,0.233081862,0.275645941,0.00439840509,0.107521594,0.0778533071,0.232514933,-0.0308243111,0.0204253718,0.389823645
-0.275255531,0.233118564,0.275255531,0.00110190781,0.107555583,0.0778716132,0.23284322,-0.0301516205,0.0204234701,0.389277965
0.883362591,0.233242214,-0.883362651,0.00428594463,0.0390518047,0.0216012355,0.220440358,0.399164915,0.022021139,1.25116837
-0.077052854,0.233813226,0.0770528466,0.0103513291,0.17778337,0.106595196,0.100274436,0.0750197992,0.0199341718,0.136503085
-0.275612503,0.234123111,0.275612533,0.00166644412,0.107907414,0.0782126933,0.233797863,-0.031648811,0.0204240177,0.389775544
0.000335558318,0.234208137,-0.000335557153,0.00256374967,0.211138323,0.117516614,0.0232008658,0.006179424,0.0199141838,0.0190149155
0.663335145,0.235798925,-0.663335145,0.00761092268,0.121104911,0.0755476579,-0.204081178,-0.0368983299,0.0217433982,0.938985348
-0.155328527,0.235803783,0.155328512,0.00875263195,0.143371791,0.0922610834,0.181270942,0.116918549,0.0200148299,0.225619838
0.082795158,0.235858649,-0.0827951506,0.00635010703,0.177138537,0.107738145,0.112775706,0.0491909757,0.0199128296,0.117347017
